Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CL-Brain,0.795,2932.842,2.209,1235,nan
CL-Brain,0.962,2935.146,2.271,1505,-0.010
CL-Brain,0.865,2937.160,1.880,1423,8.823
CL-Brain,1.225,2940.580,3.748,1885,1.490
CL-Brain,0.768,2942.906,2.680,1212,-0.010
CL-Brain,0.816,2945.257,2.601,1227,6.990
CL-Brain,1.097,2947.618,2.089,1728,-0.010
CL-Brain,0.796,2949.901,2.568,1203,14.990
CL-Brain,0.792,2952.371,2.900,1207,0.323
CL-Brain,1.118,2955.018,2.581,1690,nan
CL-Brain,0.804,2957.440,2.826,1235,nan
CL-Brain,0.797,2959.724,2.535,1206,0.490
CL-Brain,0.776,2961.635,1.875,1220,16.990
CL-Brain,0.883,2963.866,2.260,1430,nan
CL-Brain,0.800,2966.177,2.581,1254,-0.010
CL-Brain,0.778,2968.421,2.521,1226,-0.010
CL-Brain,0.785,2970.510,2.264,1210,9.990
CL-Brain,0.870,2972.835,2.452,1372,-0.010
CL-Brain,0.820,2974.908,2.121,1224,7.490
CL-Brain,0.884,2977.155,2.334,1417,14.941
CL-Brain,1.340,2980.833,4.023,2062,14.990
CL-Brain,0.803,2983.655,3.475,1247,3.990
CL-Brain,1.107,2986.102,2.290,1716,-0.010
CL-Brain,0.767,2988.560,2.892,1238,14.990
CL-Brain,0.780,2990.862,2.608,1225,6.323
CL-Brain,1.051,2993.183,2.125,1649,-0.010
CL-Brain,0.767,2995.423,2.518,1235,nan
CL-Brain,0.795,2997.777,2.665,1238,0.490
CL-Brain,1.093,3000.316,2.444,1690,nan
CL-Brain,0.804,3002.910,3.110,1235,nan
CL-Brain,0.833,3005.214,2.542,1224,8.490
CL-Brain,0.796,3007.203,2.001,1235,nan
CL-Brain,0.856,3009.316,2.127,1398,9.657
CL-Brain,0.775,3011.459,2.293,1248,4.990
CL-Brain,0.789,3013.819,2.711,1235,nan
CL-Brain,0.804,3015.925,2.224,1233,-0.010
CL-Brain,0.938,3018.272,2.440,1513,-0.010
CL-Brain,0.879,3020.566,2.391,1392,16.124
CL-Brain,1.267,3024.257,4.181,1992,-0.010
CL-Brain,0.790,3026.770,2.930,1254,3.240
CL-Brain,1.096,3029.384,2.584,1792,-0.010
CL-Brain,0.793,3032.205,3.275,1235,nan
CL-Brain,0.770,3034.425,2.485,1235,nan
CL-Brain,1.107,3036.607,1.734,1716,16.490
CL-Brain,0.784,3039.354,3.400,1251,14.990
CL-Brain,0.798,3041.500,2.276,1263,-0.010
CL-Brain,1.018,3043.886,2.346,1563,-0.010
CL-Brain,0.777,3046.243,2.726,1235,nan
CL-Brain,0.851,3048.779,2.913,1322,-0.010
CL-Brain,1.024,3051.308,2.619,1625,nan
CL-Brain,0.793,3053.954,3.227,1262,-0.010
CL-Brain,0.800,3055.868,1.868,1230,16.990
CL-Brain,1.018,3058.304,2.386,1625,nan
CL-Brain,0.869,3060.509,2.242,1336,18.367
CL-Brain,1.259,3063.882,3.586,1980,0.240
CL-Brain,0.789,3066.489,3.125,1231,-0.010
CL-Brain,1.095,3069.141,2.651,1690,nan
CL-Brain,0.784,3071.448,2.646,1238,11.990
CL-Brain,0.786,3073.810,2.695,1270,-0.010
CL-Brain,1.028,3076.570,2.987,1625,nan
CL-Brain,0.861,3078.863,2.435,1226,13.990
CL-Brain,0.915,3081.423,2.826,1344,5.323
CL-Brain,1.064,3084.183,2.893,1582,-0.010
CL-Brain,0.776,3086.292,2.239,1228,2.990
CL-Brain,0.810,3088.884,3.113,1300,nan
CL-Brain,0.772,3091.262,2.776,1209,7.323
CL-Brain,0.948,3093.549,2.275,1515,29.990
CL-Brain,0.783,3095.973,2.841,1249,14.990
CL-Brain,0.789,3098.006,2.083,1259,13.990
CL-Brain,0.771,3100.334,2.687,1215,14.990
CL-Brain,0.952,3102.687,2.436,1456,6.990
CL-Brain,0.862,3104.789,2.071,1391,19.938
CL-Brain,1.285,3108.292,3.803,2018,-0.010
CL-Brain,1.270,3111.736,3.678,2010,14.990
CL-Brain,0.793,3114.004,2.497,1229,12.490
CL-Brain,1.100,3116.980,3.240,1792,-0.010
CL-Brain,0.799,3119.553,3.073,1316,-0.010
CL-Brain,1.099,3122.610,3.404,1737,1.990
CL-Brain,0.782,3124.791,2.399,1221,6.740
CL-Brain,0.778,3127.203,2.813,1254,6.323
CL-Brain,0.790,3129.379,2.389,1221,-0.010
CL-Brain,0.938,3131.436,1.855,1451,13.990
CL-Brain,0.786,3133.770,2.699,1233,1.490
CL-Brain,0.797,3136.334,3.135,1205,-0.010
CL-Brain,0.804,3138.347,2.013,1238,27.990
CL-Brain,0.988,3140.691,2.283,1441,13.990
CL-Brain,0.793,3142.707,2.071,1232,-0.010
CL-Brain,0.854,3144.619,1.774,1334,13.823
CL-Brain,1.253,3147.993,3.583,2024,-0.010
CL-Brain,0.768,3150.784,3.507,1237,0.490
CL-Brain,1.181,3153.385,2.394,1879,-0.010
CL-Brain,0.790,3156.252,3.616,1243,0.740
CL-Brain,1.116,3158.737,2.311,1741,6.490
CL-Brain,0.764,3161.138,2.839,1204,-0.010
CL-Brain,0.762,3163.702,3.174,1211,9.990
CL-Brain,0.784,3165.900,2.458,1221,3.990
CL-Brain,0.861,3167.887,1.869,1436,14.990
CL-Brain,0.785,3170.043,2.315,1204,12.657
